"Matches the empty string, but only at the beginning or end of a word.",\b,5
Test whether every element in other is in the set.,set >= other,5
"An idealized naive date, assuming the current Gregorian calendar always was, and always will be, in effect. Attributes: year, month, and day.",datetime.date,5
Return the lowest index in string h where substring i is found within the slice s[start:end]. Optional arguments start and end are interpreted as in slice notation. Return -1 if substring is not found.,"h.find(i, start, end)",5
"This static method returns a translation table usable for str.translate().

If there is only one argument, it must be a dictionary mapping Unicode ordinals (integers) or characters (strings of length 1) to Unicode ordinals, strings (of arbitrary lengths) or None. Character keys will then be converted to ordinals.

If there are two arguments, they must be strings of equal length, and in the resulting dictionary, each character in x will be mapped to the character at the same position in y. If there is a third argument, it must be a string, whose characters will be mapped to None in the result.","str.maketrans(x, y, z)",5
Remove all elements from the set.,clear(),5
Causes the resulting RE to match 0 or 1 repetitions of the preceding RE.,?,5
drops you into the debugger at the call site,breakpoint(),5
Remove element elem from the set. Raises KeyError if elem is not contained in the set.,remove(elem),5
"Causes the resulting RE to match from m to n repetitions of the preceding RE, attempting to match as many repetitions as possible.","{m, n}",5
Return a str version of object.,str(),5
Return the “identity” of an object. This is an integer which is guaranteed to be unique and constant for this object during its lifetime.,id(),5
Invoke the built-in help system.,help(),5
Matches any Unicode decimal digit,\d,5
"Return an integer object constructed from a number or string, or return 0 if no arguments are given.",int(),5
"Matches the empty string, but only when it is not at the beginning or end of a word.",\B,5
"A string containing all ASCII characters that are considered whitespace. This includes the characters space, tab, linefeed, return, formfeed, and vertical tab.",string.whitespace,5
"Return True if d has a key key, else False.",key in d,5
"Return True if string p starts with prefix q, otherwise return False. prefix can also be a tuple of prefixes to look for.",p.startswith(q),5
"Return a new set object, optionally with elements taken from iterable.",set(),5
this matches any character except a newline,.,5
Return the largest item in an iterable or the largest of two or more arguments.,max(),5
The mouse cursor is over the widget and pressing a mouse button will cause some action to occur,active,5
Widget is disabled under program control,disabled,5
Is a string mutable?,no,5
Used to indicate a set of characters for matching.,[],5
Remove and return an arbitrary element from the set. Raises KeyError if the set is empty.,pop(),5
Return the absolute value of a number,abs(),5
The string '0123456789'.,string.digits,5
remove all case distinctions in string b,b.casefold(),5
index of the first occurrence of x in s (at or after index i and before index j),"s.index(x, i, j)",5
Matches the end of the string or just before the newline at the end of the string,$,5
delete the first item from s where s[i] is equal to x,s.remove(x),5
"Returns an iterator of tuples, where the i-th tuple contains the i-th element from each of the argument sequences or iterables.",zip(),5
The lowercase letters 'abcdefghijklmnopqrstuvwxyz'.,string.ascii_lowercase,5
Return a new set with elements in either the set or other but not both,set ^ other,5
Specifies that exactly m copies of the previous RE should be matched; fewer matches cause the entire RE not to match.,{m},5
"Return an iterator that applies function to every item of iterable, yielding the results.",map(),5
Return the length (the number of items) of an object.,len(),5
Return a copy of string j with all the cased characters converted to lowercase.,j.lower(),5
"Return True if any element of the iterable is true. If the iterable is empty, return False.",any(),5
Return a new set with elements common to the set and all others.,intersection(*others),5
Return the current local date.,date.today(),5
Return x to the power y,"pow(x, y)",5
Create a new list.,list(),5
returns a tuple containing a count (from start which defaults to 0) and the values obtained from iterating over iterable.,enumerate(),5
