The lowercase letters 'abcdefghijklmnopqrstuvwxyz'.,string.ascii_lowercase,1
"If the prompt argument is present, it is written to standard output without a trailing newline. The function then reads a line from input, converts it to a string (stripping a trailing newline), and returns that.",input(),2
drops you into the debugger at the call site,breakpoint(),2
Invoke the built-in help system.,help(),2
printf-style for string,%s,1
printf-style for single character,%c,1
Return a list of all the keys used in the dictionary d.,list(d),1
Return True if the set has no elements in common with other. Sets are disjoint if and only if their intersection is the empty set.,isdisjoint(other),1
"Method sorting list s in place, in ascending order.","sort(s, reverse=False)",1
"Return True if string p starts with prefix q, otherwise return False. prefix can also be a tuple of prefixes to look for.",p.startswith(q),2
"Return a new sorted list from the items in iterable. reverse is a boolean value. If set to True, then the list elements are sorted as if each comparison were reversed.",sorted(),2
Return the number of items in the dictionary d.,len(d),1
"Test whether the set is a proper subset of other, that is, set <= other and set != other.",set < other,2
Return a copy of string j with all the cased characters converted to lowercase.,j.lower(),2
returns a tuple containing a count (from start which defaults to 0) and the values obtained from iterating over iterable.,enumerate(),2
"Returns an iterator of tuples, where the i-th tuple contains the i-th element from each of the argument sequences or iterables.",zip(),2
The uppercase letters 'ABCDEFGHIJKLMNOPQRSTUVWXYZ'.,string.ascii_uppercase,1
Remove and return an arbitrary element from the set. Raises KeyError if the set is empty.,pop(),1
"Return an integer object constructed from a number or string, or return 0 if no arguments are given.",int(),2
"Return a string which is the concatenation of the strings in iterable, concatenated by space.",""" "".join(iterable)",2
index of the first occurrence of x in s (at or after index i and before index j),"s.index(x, i, j)",2
printf-style for float,%f,1
Remove element elem from the set. Raises KeyError if elem is not contained in the set.,remove(elem),1
Create a new tuple.,tuple(),2
Return the length (the number of items) of an object.,len(),2
Test whether every element in other is in the set.,set >= other,1
"open for writing, appending to the end of the file if it exists",a,2
open a disk file for updating (reading and writing),+,1
Create a new dictionary.,dict(),2
Return a new set with elements from the set and all others.,union(*others),1
"open for exclusive creation, failing if the file already exists",x,2
"Return a copy of string n with all occurrences of substring old replaced by new. If the optional argument count is given, only the first count occurrences are replaced.","n.replace(old, new, count)",2
"Return an iterator that applies function to every item of iterable, yielding the results.",map(),2
Return a copy of string r with the leading and trailing characters removed.,r.strip(),2
Return a str version of object.,str(),2
Is a set mutable?,yes,2
Remove all elements from the set.,clear(),1
return an integer representing the Unicode code point of a character,ord(),1
retrieves the item at i and also removes it from s,s.pop([i]),2
Is a string mutable?,no,2
Remove element elem from the set if it is present.,discard(elem),1
Return a new set with elements in either the set or other but not both,set ^ other,1
"Split string k at the first occurrence of m, and return a 3-tuple containing the part before the separator, the separator itself, and the part after the separator.",k.partition(m),1
Return a copy of string s in which each character has been mapped through the given translation table.,s.translate(),1
Is a list mutable?,yes,2
removes all items from s (same as del s[:]),s.clear(),2
Test whether every element in the set is in other.,set <= other,2
"Return True if string f ends with suffix g, otherwise return False. suffix can also be a tuple of suffixes to look for.",f.endswith(g),2
Return the smallest item in an iterable or the smallest of two or more arguments.,min(),2
Return a list of the words in string o.,o.split(),2
"Return a new set object, optionally with elements taken from iterable.",set(),2
Return x to the power y,"pow(x, y)",2
Is a tuple mutable?,no,2
Return True if all elements of the iterable are true (or if the iterable is empty).,all(),2
remove all case distinctions in string b,b.casefold(),2
"Return True if any element of the iterable is true. If the iterable is empty, return False.",any(),2
total number of occurrences of x in s,s.count(x),2
Return the absolute value of a number,abs(),2
Is a set ordered?,no,2
"Return True if the float instance is finite with integral value, and False otherwise",float.is_integer(),2
